"stop_sequence","trip_id","stop_lat","stop_lon","stop_id","stop_name"
1,"51097753847",42.019063,-87.672892,"30174","Howard"
1,"51097762708",41.786610,-87.737875,"30181","Midway"
1,"51097775132",41.851773,-87.756692,"30113","54th/Cermak"
1,"BNSF_BN1233_V1",41.878889,-87.638889,"CUS","Chicago Union Station"
1,"HC_HC921_V1",41.878889,-87.638889,"CUS","Chicago Union Station"
1,"MD-N_MN2627_V7",41.878889,-87.638889,"CUS","Chicago Union Station"
1,"MD-W_MW2244_V1",42.058611,-88.327778,"BIGTIMBER","Big Timber"
1,"ME_ME821_V3",41.884167,-87.623056,"RANDOLPH","Randolph St."
1,"NCS_NC110_V1",42.481111,-88.092500,"ANTIOCH","Antioch"
1,"RI_RI533_V1",41.876389,-87.632222,"LSS","LaSalle Street"
1,"SWS_SW866_V1",41.418333,-87.989167,"MANHATTAN","Manhattan"
1,"UP-NW_UNW661_V1",41.882222,-87.640556,"OTC","Chicago OTC"
1,"UP-N_UN831_V6",41.882222,-87.640556,"OTC","Chicago OTC"
1,"UP-W_UW58_V1",41.890556,-88.463889,"ELBURN","Elburn"
2,"1902",41.883414,-87.624588,"1106","Michigan & Washington"
2,"463099473933",41.872505,-87.629051,"1875","Dearborn & Polk"
2,"463099474083",41.874307,-87.642121,"17995","Harrison & Jefferson"
2,"463099554304",41.860406,-87.622528,"12805","Indiana & 16th Street"
2,"463099555105",41.867536,-87.627828,"16139","Roosevelt & State"
2,"463099784179",41.846990,-87.646713,"4449","Archer & Halsted"
2,"463099784373",41.791903,-87.799105,"4378","Archer & Nottingham"
2,"464099199243",41.878005,-87.638306,"14461","Jackson & Chicago River"
2,"464099442938",42.062476,-87.763342,"10451","5420 W Old Orchard Rd"
2,"464099442942",42.062476,-87.763342,"10451","5420 W Old Orchard Rd"
2,"464099442945",41.980132,-87.837007,"8602","Bryn Mawr & Gregory"
2,"464099442953",41.996854,-87.819091,"9849","Devon & Overhill"
2,"464099443083",41.971142,-87.763597,"4746","Jefferson Park Metra Station Walkway"
2,"464099443085",41.969008,-87.761848,"3725","Milwaukee & Higgins"
2,"464099443176",42.011121,-87.831150,"9918","Touhy & Summit/Prospect"
2,"464099443183",41.867458,-87.774112,"9618","Austin & Fillmore"
2,"464099443195",41.970031,-87.762159,"17037","Jefferson Park Transit Center North Drop Off"
