"agency_id","route_color","route_id","route_long_name","route_short_name","route_text_color","route_type","route_url","trip_id","shape_id"
"CTA","","106","East 103rd","106","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=266","464099717003","4644493"
"CTA","","29","State","29","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=186","464099717060","4641039"
"CTA","","95W","West 95th","95W","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=260","464099717131","4647812"
"CTA","","95E","93rd-95th","95E","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=259","464099717418","4641822"
"CTA","","5","South Shore Night Bus","5","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=164","464099717428","4647039"
"CTA","","34","South Michigan","34","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=189","464099717477","4644561"
"CTA","","111","111th/King Drive","111","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=268","464099717506","4646356"
"CTA","","115","Pullman/115th","115","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=336","464099717513","4646358"
"CTA","","119","Michigan/119th","119","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=270","464099717544","4640754"
"CTA","","71","71st South Shore","71","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=233","464099717739","4647032"
"CTA","","171","U. of Chicago/Hyde Park","171","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=298","464099718105","4643425"
"CTA","","170","U. of Chicago/Midway","170","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=297","464099718107","4643183"
"CTA","","172","U. of Chicago/Kenwood","172","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=299","464099718157","4643427"
"CTA","","75","74th-75th","75","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=237","464099782835","4641541"
"CTA","","165","West 65th","165","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=294","464099783516","4644671"
"CTA","","55A","55th/Austin","55A","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=214","464099783522","4644665"
"CTA","","59","59th/61st","59","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=220","464099783755","4647025"
"CTA","","94","South California","94","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=258","464099784008","4647186"
"CTA","","55","Garfield","55","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=213","464099784749","4645424"
"CTA","","63W","West 63rd","63W","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=225","464099784776","4644597"
"CTA","","47","47th","47","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=196","464099784818","4646126"
"CTA","","62H","Archer/Harlem","62H","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=223","464099784833","4646137"
"CTA","","55N","55th/Narragansett","55N","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=215","464099784842","4644662"
"CTA","","63","63rd","63","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=224","464099784879","4645054"
"CTA","","48","South Damen","48","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=197","464099784980","4647805"
"CTA","","9","Ashland","9","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=169","464099785322","4647500"
"CTA","","X49","Western Express","X49","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=201","464099785887","4647871"
"CTA","","49","Western","49","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=198","464099785914","4641178"
"CTA","","X9","Ashland Express","X9","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=170","464099785988","4644659"
"CTA","","67","67th-69th-71st","67","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=229","464099786431","4644610"
"CTA","","53A","South Pulaski","53A","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=207","464099857779","4644576"
"CTA","522398","P","Purple Line","","FFFFFF",1,"http://www.transitchicago.com/riding_cta/systemguide/purpleline.aspx","51097731058","305100122"
"CTA","F9E300","Y","Yellow Line","","000000",1,"http://www.transitchicago.com/riding_cta/systemguide/yellowline.aspx","51097731189","305100033"
"CTA","00A1DE","Blue","Blue Line","","FFFFFF",1,"http://www.transitchicago.com/riding_cta/systemguide/blueline.aspx","51097732277","305100001"
"CTA","62361B","Brn","Brown Line","","FFFFFF",1,"http://www.transitchicago.com/riding_cta/systemguide/brownline.aspx","51097733721","305100017"
"CTA","009B3A","G","Green Line","","FFFFFF",1,"http://www.transitchicago.com/riding_cta/systemguide/greenline.aspx","51097737245","305100009"
"CTA","C60C30","Red","Red Line","","FFFFFF",1,"http://www.transitchicago.com/riding_cta/systemguide/redline.aspx","51097753847","305100007"
"CTA","F9461C","Org","Orange Line","","FFFFFF",1,"http://www.transitchicago.com/riding_cta/systemguide/orangeline.aspx","51097762708","305100034"
"CTA","E27EA6","Pink","Pink Line","","FFFFFF",1,"http://www.transitchicago.com/riding_cta/systemguide/pinkline.aspx","51097775132","305100035"
"METRA","41E817","BNSF","Burlington Northern","BNSF","000000",2,"http://metrarail.com/Sched/bn/bn.shtml","BNSF_BN1233_V1","BNSF_OB_1"
"METRA","A80004","HC","Heritage Corridor","HC","FFFFFF",2,"http://metrarail.com/Sched/mhc/mhc.shtml","HC_HC921_V1","HC_OB_1"
"METRA","B5640B","MD-N","Milwaukee North","MD-N","FFFFFF",2,"http://metrarail.com/Sched/md_n/md_n.shtml","MD-N_MN2627_V7","MD-N_OB_1"
"METRA","F1AD0E","MD-W","Milwaukee West","MD-W","000000",2,"http://metrarail.com/Sched/md_n/md_w.shtml","MD-W_MW2244_V1","MD-W_IB_1"
"METRA","F1690E","ME","Metra Electric","ME","000000",2,"http://metrarail.com/Sched/me/me.shtml","ME_ME821_V3","ME_OB_1"
"METRA","9785BC","NCS","North Central Service","NCS","000000",2,"http://metrarail.com/Sched/ncs/ncs.shtml","NCS_NC110_V1","NCS_IB_1"
"METRA","FF0000","RI","Rock Island","RI","000000",2,"http://metrarail.com/Sched/ri/ri.shtml","RI_RI533_V1","RI_OB_1"
"METRA","0561FA","SWS","Southwest Service","SWS","000000",2,"http://metrarail.com/Sched/sws/sws.shtml","SWS_SW866_V1","SWS_IB_1"
"METRA","FFFF00","UP-NW","Union Pacific Northwest","UP-NW","000000",2,"http://metrarail.com/Sched/cnw_nw/cnw_nw.shtml","UP-NW_UNW661_V1","UP-NW_OB_1"
"METRA","008000","UP-N","Union Pacific North","UP-N","000000",2,"http://metrarail.com/Sched/cnw_n/cnwn.shtml","UP-N_UN831_V6","UP-N_OB_1"
"METRA","FE8D81","UP-W","Union Pacific West","UP-W","000000",2,"http://metrarail.com/Sched/cnw_w/cnw_w.shtml","UP-W_UW58_V1","UP-W_IB_1"
